mot,score
conc,7.864034452133316
lerne,7.872371377285217
rert,7.886967014781805
cahs,7.888716676244464
scois,7.890432827196642
kurait,7.894073077832823
atics,7.897827256410892
cabhon,7.913565401516869
hord,7.916692292409294
pect,7.923500589707211
vord,7.928932692634959
merce,7.935015194507047
alir,7.943337758088194
cori,7.952991267998095
vurs,7.965544464977196
cynt,7.972758068326147
abbes,7.978636612247903
runt,7.994438848251179
persa,7.99692615097158
wint,8.002629956887835
pias,8.004416864999332
hablos,8.025780815305138
zait,8.030916320362413
vablon,8.03389800066565
strams,8.038088384711914
rerd,8.0457218481873
sians,8.045862962093027
vore,8.061110279133764
paus,8.06348529216984
avin,8.064904720021485
piodes,8.065402164215637
ulai,8.073887598086385
absis,8.091704973541722
orodes,8.123137914981745
adles,8.13644522146024
biedes,8.141235362849924
endo,8.143336487370755
enas,8.149116089122588
dallon,8.149148143200694
nablon,8.150039102889707
